Region,Carboelectrica,Ciclo_combinado,Combustion_interna,Eolica,Hidroelectrica,Solar,Termoelectrica,Turbogas
Rio_Escondido,2600,260,24,0,66,0,16,70
Nuevo Laredo,0,0,43,0,33,0,0,0
Reynosa,0,359,0,306,0,0,300,20
Matamoros,0,1490,0,0,0,0,0,0
Monterrey,0,3687,77,22,0,0,79,251
Saltillo,0,298,34,340,0,0,0,209
Valles,0,0,0,0,19,0,0,62
Huasteca,0,2857,62,0,0,0,663,262
Tamazunchale,0,1236,17,0,0,0,0,0
Gomez,0,0,0,249,0,0,0,0
